batch,rows,accuracy,f1_score,precision,recall,ema_drift_score,adaptation_alpha
1,100000,0.34675,0.2009100037373561,0.15003377818778266,0.34675,0.9400359999999999,0.957248
2,100000,0.32545,0.16289327462522346,0.1096874931237589,0.32545,0.999956,1.0
3,100000,0.93788,0.964343598571635,0.9923439745114698,0.93788,1.0,1.0
4,100000,0.15543,0.04355801216862987,0.02532798908940847,0.15543,1.0,1.0
5,100000,0.2871,0.12959316137052287,0.08368336560941593,0.2871,1.0,1.0
6,100000,0.91745,0.9189393108171295,0.9204341232056631,0.91745,0.999988,1.0
7,100000,0.93856,0.953252726340065,0.9690734619968973,0.93856,0.999996,1.0
8,100000,0.85386,0.9200092093254075,0.9972683791748526,0.85386,0.999996,1.0
9,100000,0.8159,0.8986177652954459,1.0,0.8159,1.0,1.0
10,100000,0.85023,0.9190533068861709,1.0,0.85023,1.0,1.0
11,100000,0.93208,0.9648461761417746,1.0,0.93208,0.9999480000000002,1.0
12,100000,0.99463,0.9973077713661181,1.0,0.99463,0.9999039999999999,1.0
13,100000,0.96967,0.9845914856850565,0.999990003295979,0.96967,0.9999720000000001,1.0
14,100000,0.96654,0.9827296783342727,0.9995232129827147,0.96654,0.9998880000000001,1.0
15,100000,0.96881,0.9840690589460317,0.9998481624928273,0.96881,0.999808,1.0
16,100000,0.93452,0.9486769215301276,0.9632937676089298,0.93452,0.999984,1.0
17,100000,0.9377,0.9643040732310941,0.9925458806317217,0.9377,0.999992,1.0
18,100000,0.80556,0.8400101540001536,0.8916602164166475,0.80556,1.0,1.0
19,100000,0.80556,0.8671003797624027,0.9421441040038405,0.80556,0.9999800000000001,1.0
20,100000,0.88236,0.9316471731781574,0.9870872246705455,0.88236,0.9998920000000001,1.0
21,100000,0.97729,0.9712748887618912,0.965333369255979,0.97729,0.9995240000000001,1.0
22,100000,0.88268,0.8910676441633301,0.8997578664776108,0.88268,0.999792,1.0
23,100000,0.09258,0.022637318475743892,0.16899682307977335,0.09258,0.9999039999999999,1.0
24,100000,0.06468,0.00832336011707004,0.012588969193941524,0.06468,0.9998520000000001,1.0
25,100000,0.4032,0.252928740388983,0.1851956926065811,0.4032,0.999912,1.0
26,100000,0.85104,0.9194711487596162,0.9998695072259429,0.85104,0.999936,1.0
27,100000,0.88768,0.9179206889700461,0.9503898404312096,0.88768,0.9999680000000001,1.0
28,100000,0.94409,0.9207902899249415,0.8990317251311385,0.94409,0.999984,1.0
29,30743,0.9450281364863546,0.9221715094383582,0.9007274314416722,0.9450281364863546,0.999925,1.0
