batch_start,batch_end,mean_drift_score,ema_drift_score,adaptation_alpha,signature_weight,random_forest_weight,lstm_weight,transformer_weight,stacked_meta_weight,rolling_attack_rate,bias
0,4096,0.9994,0.6248,0.2994,0.0846,0.2579,0.1115,0.2681,0.2779,0.4911,-0.0024
4096,8192,0.9998,0.7186,0.6743,0.09,0.2263,0.1296,0.2825,0.2717,0.4851,-0.0094
8192,12288,0.9997,0.7889,0.9554,0.0941,0.2026,0.1431,0.2932,0.267,0.4805,-0.0178
12288,16384,0.9997,0.8416,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4763,-0.0227
16384,20480,0.9997,0.8811,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4732,-0.0259
20480,24576,0.9998,0.9108,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4701,-0.0289
24576,28672,0.9995,0.9329,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4677,-0.0313
28672,32768,0.9996,0.9496,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4656,-0.0335
32768,36864,0.9995,0.9621,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4639,-0.0352
36864,40960,0.9996,0.9715,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4625,-0.0366
40960,45056,0.9994,0.9784,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4615,-0.0375
45056,49152,0.9995,0.9837,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4606,-0.0385
49152,50000,0.9997,0.9877,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4595,-0.0396
50000,54096,1.0,0.9908,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4543,-0.0447
54096,58192,1.0,0.9931,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.45,-0.0491
58192,62288,1.0,0.9948,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4463,-0.0528
62288,66384,1.0,0.9961,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4432,-0.0559
66384,70480,1.0,0.9971,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4405,-0.0585
70480,74576,1.0,0.9978,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4382,-0.0608
74576,78672,1.0,0.9984,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4363,-0.0628
78672,82768,1.0,0.9988,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4346,-0.0644
82768,86864,1.0,0.9991,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4333,-0.0658
86864,90960,1.0,0.9993,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4321,-0.067
90960,95056,1.0,0.9995,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4311,-0.068
95056,99152,1.0,0.9996,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4302,-0.0688
99152,100000,1.0,0.9997,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4295,-0.0695
100000,104096,1.0,0.9998,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4332,-0.0659
104096,108192,1.0,0.9998,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4352,-0.0639
108192,112288,1.0,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4367,-0.0623
112288,116384,1.0,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4381,-0.0609
116384,120480,1.0,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4393,-0.0598
120480,124576,1.0,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4404,-0.0587
124576,128672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4412,-0.0579
128672,132768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.442,-0.0571
132768,136864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4427,-0.0564
136864,140960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4432,-0.0559
140960,145056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4437,-0.0554
145056,149152,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.444,-0.055
149152,150000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4444,-0.0547
150000,154096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4547,-0.0444
154096,158192,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4538,-0.0453
158192,162288,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.453,-0.0461
162288,166384,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4525,-0.0465
166384,170480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4519,-0.0471
170480,174576,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4515,-0.0476
174576,178672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4513,-0.0478
178672,182768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.451,-0.048
182768,186864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4509,-0.0482
186864,190960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4507,-0.0484
190960,195056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4505,-0.0485
195056,199152,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4503,-0.0488
199152,200000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4501,-0.049
200000,204096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4506,-0.0485
204096,208192,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4522,-0.0469
208192,212288,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4534,-0.0457
212288,216384,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4546,-0.0445
216384,220480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4554,-0.0437
220480,224576,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.456,-0.0431
224576,228672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4566,-0.0424
228672,232768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4572,-0.0418
232768,236864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4576,-0.0414
236864,240960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4581,-0.0409
240960,245056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4581,-0.0409
245056,249152,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.457,-0.0421
249152,250000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.456,-0.0431
250000,254096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4552,-0.0439
254096,258192,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4545,-0.0446
258192,262288,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.454,-0.0451
262288,266384,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4535,-0.0455
266384,270480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4531,-0.046
270480,274576,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4526,-0.0464
274576,278672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4524,-0.0467
278672,282768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4522,-0.0469
282768,286864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4521,-0.047
286864,290960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.452,-0.0471
290960,295056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4517,-0.0474
295056,299152,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.451,-0.0481
299152,300000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4505,-0.0486
300000,304096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.45,-0.0491
304096,308192,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4496,-0.0495
308192,312288,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4492,-0.0499
312288,316384,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4489,-0.0502
316384,320480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4486,-0.0504
320480,324576,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4484,-0.0506
324576,328672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4483,-0.0508
328672,332768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4481,-0.051
332768,336864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4479,-0.0511
336864,340960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4478,-0.0512
340960,345056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4486,-0.0505
345056,349152,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4517,-0.0474
349152,350000,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4542,-0.0449
350000,354096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4565,-0.0426
354096,358192,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4559,-0.0432
358192,362288,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4545,-0.0446
362288,366384,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4533,-0.0457
366384,370480,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4523,-0.0467
370480,374576,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4515,-0.0476
374576,378672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4508,-0.0483
378672,382768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4502,-0.0489
382768,386864,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4497,-0.0494
386864,390960,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4492,-0.0498
